brand_name,model_name,normalized_name,category,version_name,release_year,season,generation,description,technical_specs,product_url,image_url,discontinued_year,is_active,created_at,updated_at,history
Petzl,GriGri,grigri,Belay device,GriGri,,,,Assisted braking belay device.,,,,,1,2026-05-17,,
Petzl,GriGri+,grigri_plus,Belay device,GriGri+,,,,Assisted braking belay device with anti-panic handle.,,,,,1,2026-05-17,,
Petzl,Reverso,reverso,Belay device,Reverso,,,,Tubular belay and rappel device.,,,,,1,2026-05-17,,
Petzl,Adjama,adjama,Harness,Adjama,,,,Climbing and mountaineering harness.,,,,,1,2026-05-17,,
Petzl,Sama,sama,Harness,Sama,,,,Sport climbing harness.,,,,,1,2026-05-17,,
Petzl,Boreo,boreo,Helmet,Boreo,,,,Climbing and mountaineering helmet.,,,,,1,2026-05-17,,
Petzl,Sirocco,sirocco,Helmet,Sirocco,,,,Lightweight climbing and mountaineering helmet.,,,,,1,2026-05-17,,
Petzl,Spirit,spirit,Carabiner,Spirit,,,,Climbing carabiner.,,,,,1,2026-05-17,,
Petzl,Ange,ange,Carabiner,Ange,,,,Lightweight climbing carabiner.,,,,,1,2026-05-17,,
Petzl,Actik,actik,Headlamp,Actik,,,,Outdoor headlamp.,,,,,1,2026-05-17,,
Black Diamond,Camalot C4,camalot_c4,Protection,Camalot C4,,,,Spring-loaded camming device.,,,,,1,2026-05-17,,
Black Diamond,Camalot Z4,camalot_z4,Protection,Camalot Z4,,,,Offset-capable single-stem camming device.,,,,,1,2026-05-17,,
Black Diamond,ATC Guide,atc_guide,Belay device,ATC Guide,,,,Guide-mode belay and rappel device.,,,,,1,2026-05-17,,
Black Diamond,Solution Harness,solution_harness,Harness,Solution Harness,,,,Sport climbing harness.,,,,,1,2026-05-17,,
Black Diamond,Momentum Harness,momentum_harness,Harness,Momentum Harness,,,,All-around climbing harness.,,,,,1,2026-05-17,,
Black Diamond,Half Dome,half_dome,Helmet,Half Dome,,,,Climbing helmet.,,,,,1,2026-05-17,,
Black Diamond,Vision Helmet,vision_helmet,Helmet,Vision Helmet,,,,Lightweight climbing helmet.,,,,,1,2026-05-17,,
Black Diamond,HotForge,hotforge,Carabiner,HotForge,,,,Climbing carabiner.,,,,,1,2026-05-17,,
Black Diamond,LiteWire,litewire,Carabiner,LiteWire,,,,Lightweight wiregate carabiner.,,,,,1,2026-05-17,,
Black Diamond,Spot,spot,Headlamp,Spot,,,,Outdoor headlamp.,,,,,1,2026-05-17,,
Mammut,Crag Sender,crag_sender,Helmet,Crag Sender,,,,Climbing helmet.,,,,,1,2026-05-17,,
Mammut,Wall Rider,wall_rider,Helmet,Wall Rider,,,,Lightweight climbing helmet.,,,,,1,2026-05-17,,
Mammut,9.5 Crag Classic Rope,95_crag_classic_rope,Rope,9.5 Crag Classic Rope,,,,Dynamic single climbing rope.,,,,,1,2026-05-17,,
Mammut,Smart 2.0,smart_20,Belay device,Smart 2.0,,,,Assisted braking belay device.,,,,,1,2026-05-17,,
Mammut,Ophir,ophir,Harness,Ophir,,,,Climbing harness.,,,,,1,2026-05-17,,
Mammut,Sender Harness,sender_harness,Harness,Sender Harness,,,,Performance climbing harness.,,,,,1,2026-05-17,,
Mammut,Barryvox,barryvox,Avalanche safety,Barryvox,,,,Avalanche transceiver.,,,,,1,2026-05-17,,
Mammut,Nirvana,nirvana,Pack,Nirvana,,,,Freeride and ski touring pack.,,,,,1,2026-05-17,,
Edelrid,Mega Jul,mega_jul,Belay device,Mega Jul,,,,Assisted braking tubular belay device.,,,,,1,2026-05-17,,
Edelrid,Giga Jul,giga_jul,Belay device,Giga Jul,,,,Assisted and tubular belay device.,,,,,1,2026-05-17,,
Edelrid,Jay,jay,Harness,Jay,,,,Adjustable climbing harness.,,,,,1,2026-05-17,,
Edelrid,Autana,autana,Harness,Autana,,,,Climbing harness.,,,,,1,2026-05-17,,
Edelrid,Shield II,shield_ii,Helmet,Shield II,,,,Lightweight climbing helmet.,,,,,1,2026-05-17,,
Edelrid,Zodiac,zodiac,Helmet,Zodiac,,,,Climbing and mountaineering helmet.,,,,,1,2026-05-17,,
