name,normalized_name,country_id,year_established,website_url,description,logo_url,is_active,created_at,updated_at,history
Petzl,petzl,9,1975,https://www.petzl.com,"French brand specializing in climbing, mountaineering, caving and work-at-height equipment.",https://logo.clearbit.com/petzl.com,1,2026-05-16T00:00:00+02:00,,"Founded in France by Fernand Petzl, the brand grew out of caving and rope-access innovation before becoming one of the reference names in climbing, mountaineering and professional work-at-height equipment. Its product range is strongly associated with headlamps, harnesses, helmets, belay devices and technical hardware."
Black Diamond,black_diamond,16,1989,https://www.blackdiamondequipment.com,"Outdoor brand focused on climbing, skiing and mountain equipment.",https://logo.clearbit.com/blackdiamondequipment.com,1,2026-05-16T00:00:00+02:00,,"Created from the assets and culture of Chouinard Equipment, Black Diamond became a major US outdoor brand focused on climbing and backcountry skiing. The brand is closely linked to technical protection, carabiners, climbing packs, ski gear and mountain-safety equipment."
Mammut,mammut,4,1862,https://www.mammut.com,"Swiss mountain-sports brand known for ropes, apparel, packs and technical alpine equipment.",https://logo.clearbit.com/mammut.com,1,2026-05-16T00:00:00+02:00,,"Mammut originated in Switzerland as a rope manufacturer and progressively expanded into a full alpine equipment and apparel brand. Its long history in ropes, avalanche safety, clothing and packs makes it one of the most established names in European mountaineering."
Edelrid,edelrid,7,1863,https://www.edelrid.com,"German climbing and mountaineering equipment brand known for ropes, harnesses and PPE.",https://logo.clearbit.com/edelrid.com,1,2026-05-16T00:00:00+02:00,,"Edelrid started in Germany as a rope and cord maker and later became known for climbing ropes, harnesses and safety equipment. The company has a strong position in both sport climbing and professional height-safety products."
Beal,beal,9,1950,https://www.beal-planet.com,"French rope manufacturer focused on climbing, mountaineering, rescue and work-at-height products.",https://logo.clearbit.com/beal-planet.com,1,2026-05-16T00:00:00+02:00,,"Beal is a French rope specialist best known for dynamic climbing ropes, static ropes and safety products for mountain and professional use. The brand is particularly visible in sport climbing, alpinism, canyoning and rope-access work."
La Sportiva,la_sportiva,11,1928,https://www.lasportiva.com,"Italian brand producing climbing shoes, mountain boots, trail-running shoes and ski-mountaineering gear.",https://logo.clearbit.com/lasportiva.com,1,2026-05-16T00:00:00+02:00,,"La Sportiva began in the Italian Dolomites as a mountain-footwear maker and became one of the best-known brands in climbing shoes, mountaineering boots, ski-mountaineering boots and trail-running footwear. The brand is closely tied to technical alpine performance and specialist footwear design."
SCARPA,scarpa,11,1938,https://www.scarpa.com,"Italian footwear brand for climbing, mountaineering, hiking, trail running and skiing.",https://logo.clearbit.com/scarpa.com,1,2026-05-16T00:00:00+02:00,,"SCARPA was founded in northern Italy and built its reputation on mountain boots, climbing shoes and ski-touring footwear. The brand remains strongly associated with technical footwear for alpinism, rock climbing, hiking and backcountry skiing."
Grivel,grivel,11,1818,https://grivel.com,"Italian mountaineering brand known for ice axes, crampons and alpine hardware.",https://logo.clearbit.com/grivel.com,1,2026-05-16T00:00:00+02:00,,"Grivel is one of the oldest alpine hardware brands, originating in Courmayeur near Mont Blanc. It is historically associated with ice axes, crampons and metal equipment for alpinism and ice climbing."
CAMP,camp,11,1889,https://www.camp.it,"Italian brand producing climbing, mountaineering, ski-mountaineering and safety equipment.",https://logo.clearbit.com/camp.it,1,2026-05-16T00:00:00+02:00,,"CAMP, short for Concezione Articoli Montagna Premana, is an Italian mountain-equipment brand from Premana. It is known for lightweight climbing, mountaineering, ski-mountaineering and work-at-height hardware."
Wild Country,wild_country,10,1977,https://www.wildcountry.com,"British climbing brand known for protection, harnesses and climbing hardware.",https://logo.clearbit.com/wildcountry.com,1,2026-05-16T00:00:00+02:00,,"Wild Country became influential in modern climbing protection, particularly with the development and popularization of spring-loaded camming devices. The brand is associated with trad climbing hardware, quickdraws, harnesses and climbing accessories."
